bug_id,summary,description,severity,component,priority
1000,IDE freezes completely when opening any workspace (case #0),"Steps to reproduce: open the IDE, perform action 0. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,UI,P1
1001,IDE freezes completely when opening any workspace (case #1),"Steps to reproduce: open the IDE, perform action 1. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Debug,P2
1002,Application crashes on startup with NullPointerException (case #2),"Steps to reproduce: open the IDE, perform action 2. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Core,P1
1003,IDE freezes completely when opening any workspace (case #3),"Steps to reproduce: open the IDE, perform action 3. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Search,P5
1004,Application crashes on startup with NullPointerException (case #4),"Steps to reproduce: open the IDE, perform action 4. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Build,P4
1005,Application crashes on startup with NullPointerException (case #5),"Steps to reproduce: open the IDE, perform action 5. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,UI,P1
1006,Application crashes on startup with NullPointerException (case #6),"Steps to reproduce: open the IDE, perform action 6. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Core,P5
1007,IDE freezes completely when opening any workspace (case #7),"Steps to reproduce: open the IDE, perform action 7. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,UI,P5
1008,Application crashes on startup with NullPointerException (case #8),"Steps to reproduce: open the IDE, perform action 8. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Search,P5
1009,"Entire build fails, cannot compile the project (case #9)","Steps to reproduce: open the IDE, perform action 9. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,Core,P4
1010,IDE freezes completely when opening any workspace (case #10),"Steps to reproduce: open the IDE, perform action 10. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Debug,P1
1011,Application crashes on startup with NullPointerException (case #11),"Steps to reproduce: open the IDE, perform action 11. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Search,P4
1012,"Entire build fails, cannot compile the project (case #12)","Steps to reproduce: open the IDE, perform action 12. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,Debug,P2
1013,Application crashes on startup with NullPointerException (case #13),"Steps to reproduce: open the IDE, perform action 13. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Debug,P1
1014,Application crashes on startup with NullPointerException (case #14),"Steps to reproduce: open the IDE, perform action 14. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Editor,P1
1015,"Entire build fails, cannot compile the project (case #15)","Steps to reproduce: open the IDE, perform action 15. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,Debug,P5
1016,"Entire build fails, cannot compile the project (case #16)","Steps to reproduce: open the IDE, perform action 16. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,UI,P4
1017,IDE freezes completely when opening any workspace (case #17),"Steps to reproduce: open the IDE, perform action 17. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,UI,P4
1018,Application crashes on startup with NullPointerException (case #18),"Steps to reproduce: open the IDE, perform action 18. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Build,P3
1019,IDE freezes completely when opening any workspace (case #19),"Steps to reproduce: open the IDE, perform action 19. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Build,P3
1020,IDE freezes completely when opening any workspace (case #20),"Steps to reproduce: open the IDE, perform action 20. Expected: normal behaviour. Actual: ide freezes completely when opening any workspace.",Blocker,Core,P1
1021,Application crashes on startup with NullPointerException (case #21),"Steps to reproduce: open the IDE, perform action 21. Expected: normal behaviour. Actual: application crashes on startup with nullpointerexception.",Blocker,Search,P2
1022,"Entire build fails, cannot compile the project (case #22)","Steps to reproduce: open the IDE, perform action 22. Expected: normal behaviour. Actual: entire build fails, cannot compile the project.",Blocker,UI,P2
